location_caught,location_sold,genus,species,survey_event,date,length,habitat_caught,gear_1,gear_2,gear_3,boat_type,motor,crew,departure_time,hours_fishing,is_seller_the_fisher,gender,average_fishing_days_per_week
unitless,unitless,unitless,unitless,unitless,unitless,centimeters,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,hours,unitless,unitless,days
Afareaitu,Afareaitu,Acan_Cten,unidentified,1106,2014/11/02,0.00193,lagoon,speargun,,,none,N,0.0,20:00,6.5,Y,M,2
Afareaitu,Afareaitu,Acan_Cten,unidentified,1106,2014/11/02,0.00183,lagoon,speargun,,,none,N,0.0,20:00,6.5,Y,M,2
Afareaitu,Afareaitu,Acanthurus,olivaceus,1177,2015/06/07,0.00214,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Acanthurus,unidentified,1036,2014/07/20,0.00244,reef,spear_gun,,,vaa,N,1.0,19:30,15,N,M,1
Afareaitu,Afareaitu,Acanthurus,unidentified,1177,2015/06/07,0.0019,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Acanthurus,unidentified,1177,2015/06/07,0.00184,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Acanthurus,unidentified,1177,2015/06/07,0.00204,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Acanthurus,unidentified,1177,2015/06/07,0.00237,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Acanthurus,unidentified,1177,2015/06/07,0.00251,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Acanthurus,unidentified,1180,2015/06/21,0.00175,lagoon,,,,poti,,0.0,19:00,4,Y,M,2
Afareaitu,Afareaitu,Acanthurus,unidentified,1180,2015/06/21,0.00229,lagoon,,,,poti,,0.0,19:00,4,Y,M,2
Afareaitu,Afareaitu,Calo_Scar,unidentified,1153,2015/04/12,0.00288,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Calotomus,unidentified,1161,2015/05/03,0.00205,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Calotomus,unidentified,1177,2015/06/07,0.00358,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Cephalopholis,unidentified,1083,2014/09/14,0.00224,lagoon,speargun,,,none,N,0.0,18:00,6,Y,M,2
Afareaitu,Afareaitu,Cephalopholis,unidentified,1083,2014/09/14,0.00185,lagoon,speargun,,,none,N,0.0,18:00,6,Y,M,2
Afareaitu,Afareaitu,Cephalopholis,unidentified,1153,2015/04/12,0.0027,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Cephalopholis,unidentified,1153,2015/04/12,0.00241,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Cephalopholis,unidentified,1153,2015/04/12,0.00204,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Cephalopholis,unidentified,1153,2015/04/12,0.00226,lagoon,,,,poti,Y,0.0,20:00,2,Y,M,2
Afareaitu,Afareaitu,Cephalopholis,unidentified,1165,2015/05/10,0.0022,lagoon,,,,poti,Y,0.0,19:00,4,Y,M,2
Afareaitu,Afareaitu,Cephalopholis,unidentified,1165,2015/05/10,0.00249,lagoon,,,,poti,Y,0.0,19:00,4,Y,M,2
Afareaitu,Afareaitu,Cephalopholis,unidentified,1165,2015/05/10,0.00258,lagoon,,,,poti,Y,0.0,19:00,4,Y,M,2
